gene,level
LHX1,72
PTMA,72
WBP11,72
NFAT5,72
BORCS7,72
COL27A1,72
CYTL1,72
DEFB121,72
ENSP00000498524,72
KLRC3-2,72
PRR20E,72
SLC8B1,72
ZNF724,72
ZNF724-2,72
RUNX1,73
ATF2,73
MIF,73
TADA2A,73
HOXC4,73
HSBP1,73
KIAA0825,73
KLHL23,73
SLC6A6,73
SLC6A7,73
E2F1,74
BCL11B,74
MED27,74
BAZ1A,74
ATF6B,74
ZNF670,74
C19orf18,74
FAM234A,74
KCTD18,74
LRRC49,74
SLC37A3,74
SMIM11A,74
SMIM11B,74
TBC1D3F,74
ESPL1,75
MED17,75
TP63,75
SOX1,75
FOXO4,75
L3MBTL2,75
TCF12,75
ETV1,75
E4F1,75
PAWR,75
FOXO3B,75
ABCC10,75
CHDH,75
PSD4,75
TBC1D3G,75
DMAP1,76
MYB,76
CSDE1,76
DUX4,76
THRB,76
BACH2,76
ZC3H8,76
SUPT3H,76
SALL1,76
IRF6,76
LMX1A,76
RFX3,76
ZBTB11,76
THAP11,76
BNC1,76
CCNJL,76
CDR2L,76
CHADL,76
DGKD,76
ERI2,76
FERMT1,76
IGLON5,76
ITPRIPL2,76
KCNN2,76
PIGK,76
SMCO4,76
SSUH2,76
TVP23B,76
VSTM5,76
ZNF730,76
TNFAIP3,77
SREBF2,77
JUND,77
HMGA2,77
MITF,77
GATAD2A,77
GBX2,77
LDB2,77
NEIL2,77
ZSCAN4,77
TAX1BP3,77
ZNF76,77
ANKRD60,77
C1orf74,77
C2orf80,77
C5orf34,77
CACFD1,77
CD320,77
CZIB,77
DIRC1,77
EDRF1,77
FAM151B,77
FAXC,77
GLRA3,77
KRTAP8-1,77
LMBRD1,77
LOC102723713,77
LRRC52,77
MCF2L,77
NAALADL2,77
NXPE3,77
RGL3,77
SEMA4G,77
TAFA2,77
TAFA3,77
TMEM151A,77
TMEM87B,77
TRMU,77
DNMT3A,78
ERCC2,78
TRIM24,78
ZBTB2,78
ADNP,78
SOX6,78
TCF7L1,78
SCD5,78
KLF9,78
ADGRL4,78
ANKRD13A,78
FXYD6-FXYD2,78
GPA33,78
KCNJ4,78
KHDC1,78
KRT72,78
LCE3A,78
LGI3,78
LHFPL2,78
LIN7B,78
MBD3L3,78
MBD3L5,78
NLRP9,78
OLFML2A,78
SMIM8,78
TMEM14C,78
TMEM92,78
TRIM43B,78
TRIM51,78
USP17L1,78
VNN3,78
ZNF831,78
XAB2,79
SMAD7,79
CBFB,79
MEIS2,79
KDM4C,79
NCOA5,79
CNTRL,79
TCF20,79
MBD1,79
ZNF354A,79
ZNF639,79
AGPAT4,79
CADPS,79
CCDC187,79
CLIP4,79
CYB5R1,79
CYB5R2,79
ENSP00000483415,79
F8A2,79
FADS3,79
GJA10,79
GSTK1,79
KCNMB2,79
LCLAT1,79
LPCAT2,79
LPGAT1,79
MRPS17,79
MRPS23,79
PPP1R14C,79
TRPM3,79
TUBA3C,79
TUBA4B,79
WSCD2,79
SMARCB1,80
NCOA2,80
PAX2,80
PIAS4,80
IKZF3,80
ZMYM2,80
GCFC2,80
BLZF1,80
SKIL,80
YAF2,80
ZNF334,80
ANTKMT,80
ARL6IP6,80
C19orf71,80
C20orf96,80
CCDC196,80
CEP19,80
DEFB113,80
DMKN,80
FRG2C,80
LOC102723655,80
MAS1L,80
MMD,80
NAGA,80
NPEPL1,80
OR5H14,80
POPDC3,80
SCLT1,80
SIMC1,80
TEX53,80
ZNF235,80
ZNF845,80
IRF4,81
MAPK13,81
TBX5,81
SOS2,81
RARB,81
HMGB2,81
NR1I3,81
NAA15,81
NFIB,81
HIRA,81
SIX5,81
PTF1A,81
SSX2,81
NKX3-1,81
ZNF250,81
GSC,81
ELF1,81
ZNF410,81
ABHD14A,81
ATP8B4,81
BTN2A1,81
CATSPER2,81
CCDC34,81
MAP6D1,81
NTPCR,81
ST8SIA6,81
SYPL2,81
TMEM17,81
TMEM220,81
ZNF112,81
ZNF486,81
ZNF577,81
ZNF595,81
ZNF682,81
ISL1,82
TCF7,82
RBM14,82
PSIP1,82
RBL2,82
IRF2,82
WWTR1,82
CNOT7,82
NRIP1,82
HOXA13,82
CREB5,82
TFEC,82
NAB2,82
SSX3,82
ZNF558,82
ALPK2,82
BHMG1,82
C21orf62,82
CD200R1L,82
CHAD,82
CMAS,82
CNDP1,82
DAGLB,82
EDN2,82
ETDC,82
FOPNL,82
HSPE1-MOB4,82
IAH1,82
MAGEA6,82
MAGEA9,82
MYLK4,82
OR52A5,82
PAGE1,82
PLPP1,82
RFTN2,82
SERPINB13,82
SNX19,82
SUMF1,82
TANC2,82
WIPF3,82
XAGE1B,82
ZHX1-C8orf76,82
ZNF329,82
ZNF428,82
ZNF548,82
TFEB,83
NR3C2,83
MSX2,83
SUB1,83
TRIM5,83
ELL,83
KMT2B,83
ANKRD1,83
LIMD1,83
MTF1,83
FOXK1,83
NR1D1,83
LHX4,83
ZMYND11,83
HOXB13,83
TLX1,83
ZFP36L1,83
CREB3L2,83
AHR,83
KLF13,83
ZNF83,83
BTG1,83
ANKUB1,83
CNTNAP3B,83
DEFB127,83
FAM71E1,83
GAL3ST4,83
MAGEA12,83
MAGEE1,83
NPIPB4,83
OR1L6,83
SIRPG,83
SLC12A7,83
SLC27A3,83
SPATA18,83
TASOR2,83
THSD1,83
TMEM168,83
TRIM61,83
